Date,period,Close,Open,Min,Max,Mean,label,labelcl,-1,0,1
1996-06-03,Train,5635.07,5727.99,5631.59,5731.63,5681.6100000000015,0.0,1.0,0.021047248,0.37863123,0.60032153
1996-06-04,Train,5599.42,5635.07,5587.0,5696.04,5641.52,0.0,0.0,0.014461933,0.81857336,0.16696467
1996-06-05,Train,5567.89,5599.42,5543.81,5615.35,5579.58,1.0,1.0,0.04527351,0.47163203,0.48309442
1996-06-07,Train,5530.23,5567.89,5496.04,5567.89,5531.965,1.0,1.0,0.045441154,0.4257105,0.5288484
1996-06-10,Train,5457.2,5530.23,5432.68,5575.45,5504.065000000001,1.0,1.0,0.03295846,0.103318654,0.8637229
1996-06-11,Train,5413.43,5457.2,5400.37,5476.08,5438.225,1.0,1.0,0.018313935,0.22761671,0.7540693
1996-06-12,Train,5532.47,5413.43,5397.77,5536.36,5467.065000000001,1.0,1.0,0.07528139,0.2092815,0.7154372
1996-06-13,Train,5503.79,5532.47,5444.12,5532.47,5488.295,1.0,1.0,0.024473824,0.32915068,0.64637554
1996-06-14,Train,5634.86,5503.79,5487.22,5634.86,5561.04,1.0,1.0,0.13036855,0.18394667,0.68568486
1996-06-17,Train,5804.85,5634.86,5634.86,5806.32,5720.59,1.0,1.0,0.037375093,0.28764802,0.6749769
1996-06-18,Train,5834.6,5804.85,5798.96,5871.78,5835.37,1.0,1.0,0.065438986,0.2824099,0.6521511
1996-06-19,Train,5817.14,5834.6,5792.09,5864.05,5828.07,1.0,0.0,0.009922271,0.51090044,0.4791773
1996-06-20,Train,5823.04,5817.14,5782.5,5824.06,5803.280000000002,1.0,1.0,0.070299864,0.32404795,0.6056522
1996-06-21,Train,6053.14,5823.04,5823.04,6065.28,5944.16,1.0,1.0,0.055779018,0.24106155,0.70315945
1996-06-24,Train,6201.81,6053.14,6053.14,6216.28,6134.71,1.0,1.0,0.09507908,0.28507906,0.6198419
1996-06-25,Train,6082.41,6201.81,6077.64,6204.81,6141.225,1.0,1.0,0.03322545,0.35839072,0.60838383
1996-06-26,Train,6227.16,6082.41,6074.63,6279.2,6176.915,1.0,1.0,0.17864853,0.13872553,0.6826259
1996-06-27,Train,6181.59,6227.16,6145.4,6303.08,6224.24,1.0,1.0,0.16166283,0.14155911,0.696778
1996-06-28,Train,6043.89,6181.59,6024.78,6211.76,6118.27,1.0,1.0,0.24434303,0.30344906,0.45220786
1996-07-01,Train,6156.19,6043.89,6043.89,6173.51,6108.700000000002,1.0,1.0,0.08487522,0.22634935,0.6887754
1996-07-02,Train,6245.51,6156.19,6156.19,6281.58,6218.885,1.0,1.0,0.10000381,0.3719094,0.52808684
1996-07-03,Train,6355.85,6245.51,6245.51,6371.81,6308.66,1.0,1.0,0.10491763,0.29780632,0.59727603
1996-07-04,Train,6432.1,6355.85,6310.94,6472.92,6391.93,1.0,1.0,0.063866384,0.4427732,0.49336046
1996-07-05,Train,6286.46,6432.1,6277.79,6432.1,6354.945,1.0,1.0,0.097032495,0.1973186,0.70564896
1996-07-08,Train,6338.78,6286.46,6247.3,6381.86,6314.58,1.0,1.0,0.08900606,0.28135535,0.62963855
1996-07-09,Train,6487.97,6338.78,6338.73,6522.67,6430.7,1.0,1.0,0.10918893,0.27321404,0.6175971
1996-07-10,Train,6444.71,6487.97,6380.98,6544.02,6462.5,1.0,0.0,0.03837288,0.74851394,0.21311314
1996-07-11,Train,6508.52,6444.6,6385.66,6512.23,6448.945,1.0,0.0,0.048421394,0.48683596,0.46474263
1996-07-12,Train,6652.19,6508.52,6508.52,6713.2,6610.8600000000015,1.0,0.0,0.01682653,0.8259257,0.15724772
1996-07-15,Train,6432.91,6652.19,6428.98,6675.82,6552.4,0.0,0.0,0.030005565,0.4855276,0.4844668
1996-07-16,Train,6293.45,6432.91,6055.47,6455.34,6255.405000000002,0.0,0.0,0.04857306,0.8888394,0.062587515
1996-07-17,Train,6214.68,6293.45,6204.92,6442.06,6323.49,0.0,-1.0,0.371671,0.34363344,0.2846956
1996-07-18,Train,6188.8,6214.68,6149.11,6310.64,6229.875,0.0,0.0,0.17294769,0.69213855,0.13491379
1996-07-19,Train,6411.65,6188.8,6188.8,6429.89,6309.345,-1.0,0.0,0.17086045,0.5337531,0.29538646
1996-07-22,Train,6299.14,6411.65,6275.05,6442.13,6358.59,-1.0,0.0,0.21572024,0.7507156,0.033564135
1996-07-23,Train,6222.59,6299.14,6218.19,6331.05,6274.62,-1.0,-1.0,0.7568799,0.11551636,0.1276037
1996-07-24,Train,6050.99,6222.59,6039.81,6222.59,6131.200000000002,-1.0,-1.0,0.7567665,0.20876856,0.034465045
1996-07-25,Train,6096.31,6050.99,5898.22,6108.86,6003.54,-1.0,-1.0,0.698755,0.26380298,0.037442014
1996-07-26,Train,5968.46,6096.31,5968.12,6159.51,6063.815000000001,-1.0,-1.0,0.6744047,0.31709918,0.008496196
1996-07-29,Train,5909.39,5968.46,5889.08,6006.83,5947.955,-1.0,-1.0,0.57849056,0.4091093,0.01240011
1996-07-30,Train,6143.34,5909.39,5878.41,6147.0,6012.705,0.0,0.0,0.17606005,0.78689647,0.03704358
1996-07-31,Train,6123.29,6143.34,6089.98,6271.13,6180.555,0.0,0.0,0.11492558,0.86741155,0.017662851
1996-08-01,Train,6277.31,6123.29,6123.29,6307.95,6215.62,0.0,0.0,0.068325855,0.92830193,0.0033721987
1996-08-02,Train,6363.58,6277.31,6277.31,6400.47,6338.89,0.0,0.0,0.03979041,0.9490809,0.011128662
1996-08-05,Train,6244.15,6363.58,6228.17,6365.61,6296.889999999999,0.0,0.0,0.02269854,0.96108824,0.016213221
1996-08-06,Train,6130.75,6244.15,6092.01,6244.15,6168.08,0.0,0.0,0.038773462,0.87186545,0.08936104
1996-08-07,Train,6165.26,6130.75,6099.32,6188.04,6143.68,0.0,0.0,0.017508123,0.9743851,0.008106714
1996-08-08,Train,6257.25,6165.26,6135.54,6258.63,6197.085,0.0,0.0,0.038264576,0.90276814,0.058967367
1996-08-09,Train,6222.76,6257.25,6198.95,6335.36,6267.155,0.0,0.0,0.21546756,0.75067914,0.033853292
1996-08-12,Train,6304.19,6222.76,6160.25,6315.03,6237.639999999999,0.0,0.0,0.112384334,0.8562066,0.031409007
1996-08-13,Train,6227.71,6304.19,6181.49,6332.97,6257.23,0.0,0.0,0.044462074,0.9528207,0.002717225
1996-08-14,Train,6227.1,6227.71,6191.23,6282.97,6237.1,0.0,0.0,0.07392657,0.90248597,0.023587424
1996-08-15,Train,6348.41,6227.1,6227.1,6373.82,6300.46,0.0,0.0,0.32127294,0.65637726,0.0223498
1996-08-16,Train,6352.86,6348.41,6331.12,6393.16,6362.139999999999,-1.0,-1.0,0.70037144,0.2720752,0.027553262
1996-08-19,Train,6292.14,6352.86,6265.36,6355.34,6310.35,-1.0,0.0,0.4024203,0.595154,0.0024256865
1996-08-20,Train,6337.13,6292.14,6270.77,6337.77,6304.27,-1.0,-1.0,0.6557135,0.3402723,0.004014149
1996-08-21,Train,6314.78,6337.13,6284.19,6376.91,6330.549999999998,-1.0,-1.0,0.810367,0.17819676,0.011436259
1996-08-22,Train,6248.95,6314.78,6239.19,6326.44,6282.815,-1.0,-1.0,0.9005151,0.058065776,0.04141912
1996-08-23,Train,6202.71,6248.95,6143.97,6248.98,6196.475,-1.0,-1.0,0.80522346,0.18924296,0.0055335546
1996-08-26,Train,6028.06,6202.71,6016.89,6214.37,6115.63,-1.0,-1.0,0.80072165,0.17427252,0.025005871
1996-08-27,Train,6126.1,6028.06,6028.06,6126.1,6077.08,-1.0,-1.0,0.5749265,0.30611715,0.118956365
1996-08-28,Train,6294.76,6126.1,6126.1,6300.94,6213.52,0.0,-1.0,0.4644152,0.3285476,0.20703717
1996-08-29,Train,6270.03,6294.76,6239.02,6354.03,6296.525,0.0,0.0,0.19512695,0.48536557,0.31950745
1996-08-30,Train,6259.41,6270.03,6173.17,6287.4,6230.285,1.0,0.0,0.16442575,0.6313733,0.20420094
1996-09-02,Train,6232.55,6259.4,6219.46,6269.07,6244.264999999999,1.0,0.0,0.027483322,0.5362216,0.4362951
1996-09-03,Train,6270.04,6232.55,6143.14,6284.05,6213.595,1.0,1.0,0.018263409,0.20161851,0.78011805
1996-09-04,Train,6276.87,6270.04,6238.72,6280.47,6259.595,1.0,1.0,0.013615244,0.3107138,0.675671
1996-09-05,Train,6254.01,6276.87,6234.11,6294.94,6264.525,1.0,1.0,0.041253682,0.4212899,0.5374564
1996-09-06,Train,6334.62,6254.01,6254.01,6349.79,6301.9,1.0,1.0,0.10768713,0.4094896,0.48282325
1996-09-09,Train,6382.76,6334.62,6330.98,6386.83,6358.905,1.0,1.0,0.08551034,0.22498567,0.68950397
1996-09-10,Train,6415.78,6382.76,6376.81,6416.63,6396.72,1.0,0.0,0.22862168,0.43372494,0.33765343
1996-09-11,Train,6358.07,6415.78,6347.08,6425.12,6386.1,1.0,0.0,0.063885644,0.5074488,0.42866555
